등록구분,진행상태,ECN No.,프로젝트,긴급도,중요도,등록일,요청 파트(부서),완료예정일,조치완료일,대책파트/협력사
C2,완료,CH000012683,P3,상,Medium,2020-07-02,D42,2020-07-02,2020-07-02,D42
C1,완료,CH000012684,P3,상,Medium,2019-11-16,D8,2019-11-24,2019-11-24,D40
C1,등록취소,CH000012685,P3,상,Medium,2019-11-16,D8,,,D41
C1,등록취소,CH000012686,P3,상,Medium,2019-10-18,D83,2019-10-19,2019-10-19,D88
C2,완료,CH000012687,P3,상,Medium,2019-09-23,D88,2019-09-23,2019-09-23,D88
C3,완료,CH000012688,P3,상,Low,2019-06-02,D72,2019-06-03,2019-06-06,D88
C2,완료,CH000012689,P3,상,Medium,2019-06-01,D72,2019-06-01,2019-06-01,D72
C5,완료,CH000012690,P3,하,Low,2019-05-04,D90,2019-05-05,2019-05-05,D90
C2,완료,CH000012691,P3,상,Medium,2019-04-28,D42,2019-04-28,2019-04-28,D42
C3,완료,CH000012692,P3,상,Low,2019-04-25,D72,2019-04-26,2019-04-27,D88
C2,완료,CH000012693,P3,상,Medium,2019-04-11,D72,2019-04-11,2019-04-11,D72
C3,완료,CH000012694,P3,상,Low,2019-04-06,D72,2019-04-08,2019-04-08,D88
C3,완료,CH000012695,P3,상,Low,2019-04-06,D72,2019-04-08,2019-04-08,D88
C3,완료,CH000012696,P3,상,Low,2019-04-06,D72,2019-04-08,2019-04-08,D88
C3,완료,CH000012697,P3,상,Low,2019-04-06,D72,2019-04-08,2019-04-08,D42
C2,완료,CH000012698,P3,상,Medium,2019-04-06,D72,2019-04-06,2019-04-06,D72
C3,완료,CH000012699,P3,상,Low,2019-03-28,D23,2019-03-30,2019-03-30,D42
C3,완료,CH000012700,P3,상,Low,2019-03-23,D23,2019-03-25,2019-03-25,D21
C3,완료,CH000012701,P3,상,Low,2019-03-22,D23,2019-03-25,2019-03-24,D71
C3,완료,CH000012702,P3,상,Low,2019-03-22,D23,2019-03-23,2019-03-23,D22
C3,완료,CH000012703,P3,상,Low,2019-03-14,D21,2019-03-17,2019-03-17,D22
C3,완료,CH000012704,P3,상,Low,2019-03-14,D21,2019-03-15,2019-03-22,D65
C3,완료,CH000012705,P3,상,Low,2019-03-14,D21,2019-03-16,2019-03-16,D22
C5,완료,CH000012706,P3,하,Low,2019-03-11,D90,2019-03-11,2019-03-16,D90
C3,완료,CH000012707,P3,상,Low,2019-03-10,D16,2019-03-17,2019-03-18,D42
C3,완료,CH000012708,P3,상,Low,2019-03-09,D16,2019-03-08,2019-03-09,D17
C3,완료,CH000012709,P3,상,Low,2019-03-08,D16,2019-03-08,2019-03-09,D42
C3,완료,CH000012710,P3,상,Low,2019-03-08,D16,2019-03-09,2019-03-10,D22
C2,완료,CH000012711,P3,상,Medium,2019-03-08,D42,2019-03-08,2019-03-08,D42
C2,완료,CH000012712,P3,상,Medium,2019-03-08,D16,2019-03-08,2019-03-08,D16
C2,완료,CH000012713,P3,상,Medium,2019-03-07,D72,2019-03-07,2019-03-07,D72
C3,완료,CH000012714,P3,상,Low,2019-02-23,D72,2019-02-23,2019-02-23,D42
C2,완료,CH000012715,P3,상,Medium,2019-02-23,D72,2019-02-23,2019-02-23,D72
C2,완료,CH000012716,P3,상,Medium,2019-02-23,D72,2019-02-23,2019-02-23,D72
C2,완료,CH000012717,P3,상,Medium,2019-02-23,D72,2019-02-23,2019-02-23,D72
C3,완료,CH000012718,P3,상,Low,2019-02-14,D72,2019-02-22,2019-02-22,D88
C3,완료,CH000012719,P3,상,Low,2019-02-11,D72,2019-02-22,2019-02-23,D88
C3,완료,CH000012720,P3,상,Low,2019-02-11,D72,2019-02-23,2019-02-23,D88
C2,완료,CH000012721,P3,상,Medium,2019-02-11,D72,2019-02-11,2019-02-11,D72
C2,완료,CH000012722,P3,상,Medium,2019-02-11,D72,2019-02-11,2019-02-11,D72
C2,완료,CH000012723,P3,상,Medium,2019-02-09,D42,2019-02-09,2019-02-09,D42
C2,완료,CH000012724,P3,상,Medium,2019-02-09,D72,2019-02-09,2019-02-09,D72
C3,완료,CH000012725,P3,상,Low,2019-02-08,D72,2019-02-08,2019-02-08,D88
C2,완료,CH000012726,P3,상,Medium,2019-02-08,D42,2019-02-08,2019-02-08,D42
C2,완료,CH000012727,P3,상,Medium,2019-02-07,D72,2019-02-07,2019-02-07,D72
C2,완료,CH000012728,P3,상,Medium,2019-02-07,D72,2019-02-07,2019-02-07,D72
C3,완료,CH000012729,P3,상,Low,2019-02-02,D16,2019-02-03,2019-02-03,D22
C3,완료,CH000012730,P3,상,Low,2019-02-02,D16,2019-02-02,2019-02-03,D88
C2,완료,CH000012731,P3,상,Medium,2019-02-02,D16,2019-02-02,2019-02-02,D16
C2,완료,CH000012732,P3,상,Medium,2019-01-31,D72,2019-01-31,2019-01-31,D72
C3,완료,CH000012733,P3,상,Low,2019-01-25,D72,2019-01-27,2019-01-27,D88
C2,완료,CH000012734,P3,상,Medium,2019-01-25,D72,2019-01-25,2019-01-25,D72
C3,완료,CH000012735,P3,상,Low,2019-01-21,D72,2019-01-24,2019-01-24,D88
C3,완료,CH000012736,P3,상,Low,2019-01-14,D72,2019-01-17,2019-01-17,D88
C3,완료,CH000012737,P3,상,Low,2019-01-14,D72,2019-01-17,2019-01-17,D88
C3,완료,CH000012738,P3,상,Low,2019-01-14,D16,2019-01-14,2019-01-14,D42
C3,완료,CH000012739,P3,상,Low,2019-01-14,D16,2019-01-17,2019-01-17,D42
C3,완료,CH000012740,P3,상,Low,2019-01-14,D16,2019-01-18,2019-01-19,D54
C3,완료,CH000012741,P3,상,Low,2019-01-14,D16,2019-02-23,2019-02-23,D17
C3,완료,CH000012742,P3,상,Low,2019-01-14,D72,2019-01-17,2019-01-17,D88
C3,완료,CH000012743,P3,상,Low,2019-01-14,D72,2019-01-17,2019-01-17,D88
C3,완료,CH000012744,P3,상,Low,2019-01-13,D16,2019-01-19,2019-01-19,D22
C2,완료,CH000012745,P3,상,Medium,2019-01-13,D72,2019-01-13,2019-01-13,D72
C2,완료,CH000012746,P3,상,Medium,2019-01-13,D72,2019-01-13,2019-01-13,D72
C2,완료,CH000012747,P3,상,Medium,2019-01-13,D16,2019-01-13,2019-01-13,D16
C2,완료,CH000012748,P3,상,Medium,2019-01-13,D72,2019-01-13,2019-01-13,D72
C2,완료,CH000012749,P3,상,Medium,2019-01-13,D72,2019-01-13,2019-01-13,D72
C2,완료,CH000012750,P3,상,Medium,2019-01-12,D88,2019-01-12,2019-01-12,D88
C2,완료,CH000012751,P3,상,Medium,2019-01-12,D88,2019-01-12,2019-01-12,D88
C3,완료,CH000012752,P3,상,Low,2019-01-07,D24,2019-01-10,2019-01-10,D65
C2,완료,CH000012753,P3,상,Medium,2019-01-07,D24,2019-01-07,2019-01-07,D24
C2,완료,CH000012754,P3,상,Medium,2019-01-07,D24,2019-01-07,2019-01-07,D24
C2,완료,CH000012755,P3,상,Medium,2019-01-05,D72,2019-01-05,2019-01-05,D72
C3,완료,CH000012756,P3,상,Low,2019-01-04,D21,2019-01-04,2019-01-04,D22
C3,완료,CH000012757,P3,상,Low,2019-01-03,D21,2019-01-04,2019-01-04,D65
C3,완료,CH000012758,P3,상,Low,2019-01-03,D21,2019-01-07,2019-01-06,D40
C3,완료,CH000012759,P3,상,Low,2019-01-03,D21,2019-01-07,2019-01-07,D22
C3,완료,CH000012760,P3,상,Low,2019-01-03,D21,2019-01-04,2019-01-04,D22
C3,완료,CH000012761,P3,상,Low,2018-12-31,D16,2019-01-06,2019-01-06,D54
C3,완료,CH000012762,P3,상,Low,2018-12-31,D16,2019-02-02,2019-02-02,D17
C3,완료,CH000012763,P3,상,Low,2018-12-30,D16,2019-01-07,2019-01-07,D22
C2,완료,CH000012764,P3,상,Medium,2018-12-30,D16,2018-12-30,2018-12-30,D16
C2,완료,CH000012765,P3,상,Medium,2018-12-21,D88,2018-12-21,2018-12-21,D88
C2,완료,CH000012766,P3,상,Medium,2018-12-21,D88,2018-12-21,2018-12-21,D88
C3,완료,CH000012767,P3,상,Low,2018-12-16,D42,2018-12-17,2018-12-17,D71
C3,완료,CH000012768,P3,상,Low,2018-12-14,D72,2018-12-14,2018-12-14,D88
C3,완료,CH000012769,P3,상,Low,2018-12-13,D72,2018-12-14,2018-12-14,D88
C3,완료,CH000012770,P3,상,Low,2018-12-13,D16,2018-12-15,2018-12-15,D22
C3,완료,CH000012771,P3,상,Low,2018-12-13,D16,2018-12-14,2018-12-14,D71
C3,완료,CH000012772,P3,상,Low,2018-12-13,D16,2018-12-13,2018-12-15,D17
C2,완료,CH000012773,P3,상,Medium,2018-12-13,D72,2018-12-13,2018-12-13,D72
C2,완료,CH000012774,P3,상,Medium,2018-12-10,D16,2018-12-10,2018-12-10,D16
C3,완료,CH000012775,P3,상,Low,2018-12-09,D72,2018-12-09,2018-12-09,D88
C3,완료,CH000012776,P3,상,Low,2018-12-09,D72,2018-12-09,2018-12-09,D88
C3,완료,CH000012777,P3,상,Low,2018-12-08,D72,2018-12-14,2018-12-14,D21
C2,완료,CH000012778,P3,상,Medium,2018-12-08,D42,2018-12-08,2018-12-08,D42
C2,완료,CH000012779,P3,상,Medium,2018-12-08,D72,2018-12-08,2018-12-08,D72
C2,완료,CH000012780,P3,상,Medium,2018-12-08,D72,2018-12-08,2018-12-08,D72
C2,완료,CH000012781,P3,상,Medium,2018-12-07,D72,2018-12-07,2018-12-07,D72
C2,완료,CH000012782,P3,상,Medium,2018-12-07,D72,2018-12-07,2018-12-07,D72
C2,완료,CH000012783,P3,상,Medium,2018-12-07,D72,2018-12-07,2018-12-07,D72
C3,완료,CH000012784,P3,상,Low,2018-12-06,D72,2018-12-06,2018-12-07,D88
C3,완료,CH000012785,P3,상,Low,2018-12-06,D72,2018-12-06,2018-12-06,D88
C3,완료,CH000012786,P3,상,Low,2018-12-06,D16,2018-12-10,2018-12-07,D16
C2,완료,CH000012787,P3,상,Medium,2018-12-03,D72,2018-12-03,2018-12-03,D72
C3,완료,CH000012788,P3,상,Low,2018-12-01,D16,2018-12-15,2018-12-15,D22
C3,완료,CH000012789,P3,상,Low,2018-12-01,D16,2018-12-02,2018-12-02,D65
C3,완료,CH000012790,P3,상,Low,2018-12-01,D16,2018-12-15,2018-12-15,D22
C3,완료,CH000012791,P3,상,Low,2018-11-30,D16,2018-12-01,2018-12-03,D17
C3,완료,CH000012792,P3,상,Low,2018-11-30,D16,2019-01-04,2019-01-04,D17
C3,완료,CH000012793,P3,상,Low,2018-11-30,D16,2018-12-01,2018-12-01,D88
C2,완료,CH000012794,P3,상,Medium,2018-11-30,D16,2018-11-30,2018-11-30,D16
C2,완료,CH000012795,P3,상,Medium,2018-11-30,D16,2018-11-30,2018-11-30,D16
