1,주제,호선별 개정도 현황,Unnamed: 3
,,,
2.0,RAW DATA 내용,설계도면이 수정된 경우 수정된 내용을 개정도로 작성하고 이를 출도해서 후속부서들이 관련 정보를 확인함,
,,호선별로 출도된 개정도면에 대한 정보를 확인할 수 있는 DATA,
,,,
3.0,Column 설명,"(데이터 분석 관점에서 주요 column은 노란색 셀로 표시, 개인 관점에 따라 달라질 수 있음)",
,Column 항목,내용,비고
,No,,참고정보
,프로젝트번호,호선정보,주요정보
,출도부서,,주요정보
,과제번호,과제번호,기본정보
,도면명,개정도면은 각 설계도면의 일부분 혹은 전체이며 그 설계도면명을 의미,주요정보
,출도일자,도면 출도일자,주요정보
,출도번호,출도 도면파일명,기본정보
,근원부서,개정 발생 원인부서,주요정보
,원인코드,개정 발생 원인코드,주요정보
,코드명,개정 발생 원인,주요정보
