1,주제,구조/의장 생산설계 DP 현황 (구조),Unnamed: 3
,,,
2.0,RAW DATA 내용,설계도면들은 각각 DP(Drawing Program) 를 가지고 이를 확인 후 도면 작업 진행함,
,,도면 중 생산설계 DP 관련 일정 및 실적 확인 DATA,
,,,
3.0,Column 설명,"(데이터 분석 관점에서 주요 column은 노란색 셀로 표시, 개인 관점에 따라 달라질 수 있음)",
,Column 항목,내용,비고
,No,,참고정보
,프로젝트,호선명,주요정보
,D/P&BOM 코드,작업 도면코드,주요정보
,D/P&BOM 내역,작업 도면명,주요정보
,설계기능,설계 기능별 분류,주요정보
,도면종류,설계 도면 구분,주요정보
,협력사,도면 작업 협력사,주요정보
,직영책임부서,도면 작업부서,주요정보
,작업 출도계획,도면 출도 계획,주요정보
,작업 출도실적,도면 출도 실적,주요정보
