No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적
1,DPBOM000002775,의장(설치),F5,,D7,2022-11-28,
2,DPBOM000002776,의장(설치),F5,,D7,2023-01-27,
3,DPBOM000002777,의장(설치),F6,,D8,2022-12-08,2022-06-19
4,DPBOM000002778,의장(설치),F5,,D7,2022-09-05,
5,DPBOM000002779,의장(설치),F2,,D4,2022-11-21,2022-11-11
6,DPBOM000002780,제작,F2,,D4,2022-11-03,2022-09-16
7,DPBOM000002781,의장(설치),F6,,D8,2022-12-08,2022-06-19
8,DPBOM000002782,의장(설치),F5,,D7,2022-09-01,
9,DPBOM000002783,의장(설치),F5,,D7,2023-01-27,
10,DPBOM000002784,의장(설치),F7,,D3,2022-09-01,2022-06-02
11,DPBOM000002785,철의장,F7,,D3,2022-08-01,2022-04-09
12,DPBOM000002715,의장(설치),F5,,D7,2022-11-12,2022-07-11
13,DPBOM000001718,철의장,F5,,D7,2022-10-20,2022-09-10
14,DPBOM000002788,의장(설치),F2,,D4,2022-09-01,2022-08-22
15,DPBOM000002581,제작,F2,,D4,2022-08-01,2022-06-20
16,DPBOM000002790,의장(설치),F2,,D4,2022-11-24,2022-11-19
17,DPBOM000002791,의장(설치),F1,D1,D3,2022-09-01,2022-06-30
18,DPBOM000002792,의장(설치),F1,D1,D3,2022-11-12,2022-06-11
19,DPBOM000001795,의장(설치),F1,D1,D3,2022-11-12,2022-06-19
20,DPBOM000002712,의장(설치),F1,D1,D3,2022-11-12,2022-06-30
21,DPBOM000002795,철의장,F1,D1,D3,2022-10-20,2022-05-28
22,DPBOM000002796,철의장,F1,D1,D3,2022-10-20,2022-04-24
23,DPBOM000002797,의장(설치),F5,,D7,2022-10-08,
24,DPBOM000002798,의장(설치),F5,,D7,2022-10-08,2022-07-11
25,DPBOM000002799,의장(설치),F5,,D7,2022-11-12,2022-07-11
26,DPBOM000002800,철의장,F5,,D7,2022-10-20,2022-09-10
27,DPBOM000002801,의장(설치),F2,,D4,2022-10-08,2022-06-30
28,DPBOM000002802,제작,F2,,D4,2022-09-10,2022-05-15
29,DPBOM000002803,Supp 제작,F2,,D4,2022-09-10,2022-05-15
30,DPBOM000002804,의장(설치),F2,,D4,2022-11-12,2022-06-30
31,DPBOM000002805,의장(설치),F1,D1,D3,2022-10-08,2022-06-20
32,DPBOM000002806,의장(설치),F1,D1,D3,2022-11-12,2022-06-20
33,DPBOM000002807,철의장,F1,D1,D3,2022-10-20,2022-05-02
34,DPBOM000002808,의장(설치),F4,,D6,2022-11-13,2022-06-12
35,DPBOM000002809,의장(설치),F4,,D6,2022-12-23,2022-06-12
36,DPBOM000002810,의장(설치),F5,,D7,2022-09-01,
37,DPBOM000002811,의장(설치),F5,,D7,2022-09-01,
38,DPBOM000002812,의장(설치),F5,,D7,2022-09-01,
39,DPBOM000002813,의장(설치),F8,,D5,2022-09-01,2022-04-03
40,DPBOM000002814,의장(설치),F5,,D7,2022-09-01,2022-08-22
41,DPBOM000002815,철의장,F5,,D7,2022-08-01,2022-06-02
42,DPBOM000002704,의장(설치),F5,,D7,2022-12-09,2022-12-08
43,DPBOM000002817,철의장,F5,,D7,2022-10-20,2022-09-10
44,DPBOM000002818,의장(설치),F4,,D6,2022-09-01,2022-06-12
45,DPBOM000001853,의장(설치),F4,,D6,2023-01-23,2022-06-12
46,DPBOM000002706,의장(설치),F11,,D6,2022-11-13,2022-10-02
47,DPBOM000001723,철의장,F11,,D6,2022-10-21,2022-03-17
48,DPBOM000002822,의장(설치),F3,,D5,2023-01-21,2023-01-09
49,DPBOM000002823,의장(설치),F5,,D7,2022-09-01,
50,DPBOM000002824,의장(설치),F5,,D7,2022-09-01,
51,DPBOM000002825,의장(설치),F5,,D7,2022-09-01,
52,DPBOM000002826,의장(설치),F4,,D6,2022-09-01,2022-08-22
53,DPBOM000002827,철의장,F4,,D6,2022-08-01,2022-03-20
54,DPBOM000002828,의장(설치),F4,,D6,2022-09-01,2022-08-22
55,DPBOM000002829,의장(설치),F5,,D7,2022-09-04,
56,DPBOM000002830,의장(설치),F5,,D7,2022-12-05,
57,DPBOM000002831,의장(설치),F8,,D5,2022-09-04,2022-04-03
58,DPBOM000002832,의장(설치),F5,,D7,2022-09-04,2022-09-03
59,DPBOM000002833,철의장,F5,,D7,2022-08-06,2022-06-02
60,DPBOM000002677,의장(설치),F5,,D7,2022-12-26,2022-12-16
61,DPBOM000001831,철의장,F5,,D7,2022-10-20,2022-06-11
62,DPBOM000002707,의장(설치),F5,,D7,2022-12-19,2022-12-09
63,DPBOM000002837,의장(설치),F4,,D6,2022-11-12,2022-06-12
64,DPBOM000002838,의장(설치),F3,,D5,2022-09-01,2022-06-12
65,DPBOM000002839,제작,F3,,D5,2022-08-01,2022-03-18
66,DPBOM000002840,Supp 제작,F3,,D5,2022-08-01,2022-05-21
67,DPBOM000001797,의장(설치),F3,,D5,2022-11-12,2022-06-12
68,DPBOM000002842,의장(설치),F4,,D6,2022-09-01,2022-08-22
69,DPBOM000002684,의장(설치),F4,,D6,2022-11-12,2022-08-22
70,DPBOM000002844,의장(설치),F5,,D7,2022-09-04,
71,DPBOM000002845,의장(설치),F5,,D7,2022-12-05,
72,DPBOM000002846,의장(설치),F4,,D6,2022-09-01,2022-08-22
73,DPBOM000002847,철의장,F4,,D6,2022-08-01,2022-04-07
74,DPBOM000002685,의장(설치),F4,,D6,2022-11-12,2022-08-22
75,DPBOM000002849,의장(설치),F5,,D7,2022-09-04,
76,DPBOM000002850,의장(설치),F5,,D7,2022-12-05,
77,DPBOM000002851,의장(설치),F4,,D6,2022-09-01,2022-08-22
78,DPBOM000002852,의장(설치),F4,,D6,2022-11-12,2022-08-22
79,DPBOM000002853,의장(설치),F5,,D7,2022-09-09,
80,DPBOM000002854,의장(설치),F5,,D7,2022-09-09,
81,DPBOM000002855,의장(설치),F5,,D7,2022-09-09,
82,DPBOM000002856,의장(설치),F8,,D5,2022-09-09,2022-04-15
83,DPBOM000002857,의장(설치),F5,,D7,2022-09-09,2022-09-03
84,DPBOM000002858,철의장,F5,,D7,2022-08-11,2022-06-26
85,DPBOM000002670,의장(설치),F5,,D7,2022-11-12,2022-09-03
86,DPBOM000001832,철의장,F5,,D7,2022-10-20,2022-05-05
87,DPBOM000002708,의장(설치),F5,,D7,2022-12-19,2022-12-09
88,DPBOM000002652,철의장,F5,,D7,2022-11-28,2022-10-07
89,DPBOM000002863,의장(설치),F4,,D6,2022-09-09,2022-09-03
90,DPBOM000001848,의장(설치),F4,,D6,2022-12-16,2022-06-12
91,DPBOM000002865,의장(설치),F3,,D5,2022-09-01,2022-07-09
92,DPBOM000002866,제작,F3,,D5,2022-08-01,2022-05-20
93,DPBOM000002867,의장(설치),F3,,D5,2022-11-12,2022-07-09
94,DPBOM000002868,의장(설치),F4,,D6,2022-09-01,2022-08-22
95,DPBOM000002869,철의장,F4,,D6,2022-08-01,2022-05-16
96,DPBOM000002668,의장(설치),F4,,D6,2022-11-12,2022-10-22
97,DPBOM000002871,의장(설치),F3,,D5,2022-09-01,2022-07-09
98,DPBOM000002872,의장(설치),F3,,D5,2022-11-12,2022-07-09
99,DPBOM000002873,제작,F3,,D5,2022-10-20,2022-05-30
100,DPBOM000002874,의장(설치),F4,,D6,2022-09-01,2022-08-14
101,DPBOM000002875,철의장,F4,,D6,2022-08-01,2022-04-07
102,DPBOM000002671,의장(설치),F4,,D6,2022-11-12,2022-08-14
103,DPBOM000002877,의장(설치),F3,,D5,2022-09-01,2022-07-09
104,DPBOM000002878,의장(설치),F3,,D5,2022-11-12,2022-07-09
105,DPBOM000002879,제작,F3,,D5,2022-10-20,2022-05-30
106,DPBOM000002880,의장(설치),F4,,D6,2022-09-01,2022-08-14
107,DPBOM000002672,의장(설치),F4,,D6,2022-11-12,2022-08-14
108,DPBOM000002882,의장(설치),F5,,D7,2022-09-22,
109,DPBOM000002883,의장(설치),F5,,D7,2022-12-11,
110,DPBOM000002884,의장(설치),F8,,D5,2022-09-22,2022-04-18
111,DPBOM000002885,의장(설치),F5,,D7,2022-09-22,2022-09-08
112,DPBOM000002886,철의장,F5,,D7,2022-08-21,2022-06-21
113,DPBOM000002673,의장(설치),F5,,D7,2023-01-02,2023-01-01
114,DPBOM000001729,철의장,F5,,D7,2022-10-20,2022-07-02
115,DPBOM000002709,의장(설치),F5,,D7,2022-12-19,2022-12-10
116,DPBOM000002653,철의장,F5,,D7,2022-11-26,2022-11-06
117,DPBOM000002891,의장(설치),F4,,D6,2022-09-22,2022-06-12
118,DPBOM000001857,의장(설치),F4,,D6,2022-11-18,2022-06-12
119,DPBOM000002893,의장(설치),F3,,D5,2022-09-01,2022-08-06
120,DPBOM000002894,제작,F3,,D5,2022-08-01,2022-06-03
121,DPBOM000002895,Supp 제작,F3,,D5,2022-08-01,2022-05-26
122,DPBOM000002896,의장(설치),F3,,D5,2022-08-12,2022-06-27
123,DPBOM000002897,제작,F3,,D5,2022-07-10,2022-05-27
124,DPBOM000002898,Supp 제작,F3,,D5,2022-07-10,2022-06-27
125,DPBOM000002899,의장(설치),F4,,D6,2022-09-01,2022-07-09
126,DPBOM000002900,철의장,F4,,D6,2022-08-01,2022-04-14
127,DPBOM000002901,의장(설치),F4,,D6,2022-11-12,2022-07-09
128,DPBOM000002902,의장(설치),F5,,D7,2022-09-22,
129,DPBOM000002903,의장(설치),F5,,D7,2022-12-11,
130,DPBOM000002904,의장(설치),F3,,D5,2022-11-12,2022-08-06
131,DPBOM000002905,제작,F3,,D5,2022-10-20,2022-07-02
132,DPBOM000002906,의장(설치),F3,,D5,2022-08-12,2022-08-06
133,DPBOM000002907,의장(설치),F4,,D6,2022-09-01,2022-07-09
134,DPBOM000002674,의장(설치),F4,,D6,2022-11-12,2022-07-09
135,DPBOM000002909,의장(설치),F5,,D7,2022-09-22,
136,DPBOM000002910,의장(설치),F5,,D7,2022-12-11,
137,DPBOM000002911,의장(설치),F3,,D5,2022-11-12,2022-08-06
138,DPBOM000002912,제작,F3,,D5,2022-10-20,2022-07-02
