No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적
1,DPBOM000006275,의장(설치),F3,,D5,2022-11-20,2022-11-20
2,DPBOM000006276,제작,F3,,D5,2022-10-28,2022-10-28
3,DPBOM000006277,Supp 제작,F3,,D5,2022-10-28,2022-10-28
4,DPBOM000006278,의장(설치),F3,,D5,2023-01-30,2023-01-30
5,DPBOM000006279,제작,F3,,D5,2023-01-07,2023-01-07
6,DPBOM000006280,Supp 제작,F3,,D5,2023-01-07,2023-01-07
7,DPBOM000006281,의장(설치),F4,,D6,2023-01-30,2023-01-23
8,DPBOM000001795,의장(설치),F1,,D3,2023-01-30,2022-11-07
9,DPBOM000002712,의장(설치),F1,,D3,2023-01-30,2022-11-06
10,DPBOM000002796,철의장,F1,,D3,2023-01-07,2022-07-25
11,DPBOM000002713,의장(설치),F1,,D3,2023-01-30,2022-11-06
12,DPBOM000006286,의장(설치),F5,,D7,2023-01-30,
13,DPBOM000002799,의장(설치),F5,D1,D7,2023-01-30,2023-01-20
14,DPBOM000002800,철의장,F5,D1,D7,2023-01-02,2023-01-02
15,DPBOM000006289,의장(설치),F4,,D6,2022-12-18,2022-12-18
16,DPBOM000006290,의장(설치),F8,,D5,2022-12-19,2022-11-14
17,DPBOM000006291,의장(설치),F4,,D6,2022-12-19,2022-12-08
18,DPBOM000006292,의장(설치),F4,,D6,2022-12-25,2022-10-28
19,DPBOM000006293,의장(설치),F11,,D6,2022-11-12,2022-11-12
20,DPBOM000006294,철의장,F11,,D6,2022-10-20,2022-10-21
21,DPBOM000002706,의장(설치),F11,,D6,2023-01-14,2023-01-14
22,DPBOM000006296,의장(설치),F3,,D5,2022-12-24,2022-12-24
23,DPBOM000006297,의장(설치),F4,,D6,2022-11-12,2022-11-12
24,DPBOM000002682,의장(설치),F4,,D6,2022-12-19,2022-12-12
25,DPBOM000006299,철의장,F4,,D6,2022-12-01,2022-09-05
26,DPBOM000006300,의장(설치),F4,,D6,2023-01-21,2022-10-28
27,DPBOM000006301,철의장,F4,,D6,2022-12-29,2022-06-06
28,DPBOM000002829,의장(설치),F5,,D7,2022-11-19,
29,DPBOM000002830,의장(설치),F5,,D7,2022-12-22,
30,DPBOM000002831,의장(설치),F8,,D5,2022-11-19,2022-11-14
31,DPBOM000006305,의장(설치),F8,,D5,2022-12-19,2022-11-14
32,DPBOM000002832,의장(설치),F5,,D7,2022-11-19,2022-10-27
33,DPBOM000002833,철의장,F5,,D7,2022-10-27,2022-10-17
34,DPBOM000002677,의장(설치),F5,,D7,2022-12-22,2022-10-27
35,DPBOM000001831,철의장,F5,,D7,2022-11-25,2022-10-23
36,DPBOM000002837,의장(설치),F4,,D6,2022-12-24,2022-09-04
37,DPBOM000006311,의장(설치),F3,,D5,2022-12-24,2022-12-24
38,DPBOM000002838,의장(설치),F3,,D5,2022-11-19,2022-11-19
39,DPBOM000002839,제작,F3,,D5,2022-10-27,2022-10-27
40,DPBOM000002840,Supp 제작,F3,,D5,2022-10-27,2022-10-27
41,DPBOM000001797,의장(설치),F3,,D5,2022-12-24,2022-12-24
42,DPBOM000001725,제작,F3,,D5,2022-12-01,2022-08-22
43,DPBOM000001726,Supp 제작,F3,,D5,2022-12-01,2022-08-05
44,DPBOM000002842,의장(설치),F4,,D6,2022-11-19,2022-11-13
45,DPBOM000002684,의장(설치),F4,,D6,2022-12-19,2022-11-13
46,DPBOM000002853,의장(설치),F5,,D7,2022-11-19,
47,DPBOM000002854,의장(설치),F5,,D7,2022-11-19,
48,DPBOM000002856,의장(설치),F8,,D5,2022-11-19,2022-11-14
49,DPBOM000006323,의장(설치),F8,,D5,2022-12-19,2022-11-14
50,DPBOM000002857,의장(설치),F5,,D7,2022-11-19,2022-11-19
51,DPBOM000002858,철의장,F5,,D7,2022-10-27,2022-10-17
52,DPBOM000002670,의장(설치),F5,,D7,2022-12-19,2022-10-27
53,DPBOM000001832,철의장,F5,,D7,2022-11-24,2022-10-17
54,DPBOM000001848,의장(설치),F4,,D6,2023-02-19,2022-09-04
55,DPBOM000006329,의장(설치),F3,,D5,2023-02-19,2023-02-19
56,DPBOM000002865,의장(설치),F3,,D5,2022-11-19,2022-11-19
57,DPBOM000002866,제작,F3,,D5,2022-10-27,2022-10-27
58,DPBOM000006332,Supp 제작,F3,,D5,2022-10-27,2022-10-27
